scope,precision_baseline,recall_baseline,mAP50_baseline,mAP50-95_baseline,precision_finetuned,recall_finetuned,mAP50_finetuned,mAP50-95_finetuned
overall,0.7663167421941213,0.22937013594941838,0.26023822975517896,0.17209595103578157,0.9010884207461658,0.949125184365844,0.9505526315789474,0.7202958437761071
Eczema,,,0.5204764595103579,0.34419190207156314,,,0.995,0.8152777777777779
melanoma-disease,,,0.0,0.0,,,0.906105263157895,0.6253139097744362
